Overs,Maidens,Runs,Wickets,Economy,Average,Strike Rate,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Win/Loss,Balls Whole,Balls Decimal,Total Balls Bowled,0s,1s,2s,3s,Control,Exp Control,Pitch,Pitch Index,Weather,Full Impact,Discrete Impact,Impact
10,0,52,1,5.2,52,60,5,4,v England,Birmingham,Away,10-Jun-17,Loss,10,0,60,37,14,1,1,0.804166667,2.234833361,Dead/Flat,2,Overcast,3.234833361,3,1
10,0,71,2,7.1,35.5,30,5,4,v England,Melbourne,Home,14-Jan-18,Loss,10,0,60,27,19,4,0,0.720833333,2.056145952,Dead/Flat,2,Clear,4.056145952,4,1
10,0,59,4,5.9,14.75,15,5,4,v England,Brisbane,Home,19-Jan-18,Loss,10,0,60,26,22,6,0,0.758333333,2.134715395,Dead/Flat,2,Clear,6.134715395,6,1
10,0,63,0,6.3,,,5,4,v England,Sydney,Home,21-Jan-18,Loss,10,0,60,34,11,7,0,0.7625,2.143628599,Dusty/Dry,1.5,Clear,2.143628599,2,0
9,0,63,1,7,63,54,5,4,v England,Perth,Home,28-Jan-18,Loss,9,0,54,27,16,2,1,0.74537037,2.107221743,Green,1,Clear,3.107221743,3,1
8,0,47,0,5.87,,,3,5,v South Africa,Perth,Home,04-Nov-18,Loss,8,0,48,26,9,6,3,0.760416667,2.139167355,Green,1,Clear,2.139167355,2,0
10,1,51,2,5.1,25.5,30,3,5,v South Africa,Adelaide,Home,09-Nov-18,Win,10,0,60,39,10,4,2,0.816666667,2.262944105,Green,1,Clear,4.262944105,4,1
10,1,57,2,5.7,28.5,30,3,5,v South Africa,Hobart,Home,11-Nov-18,Loss,10,0,60,33,13,8,0,0.779166667,2.179655129,Dead/Flat,2,Clear,4.179655129,4,1
7,1,31,1,4.42,31,42,10,2,v Afghanistan,Bristol,Neutral,01-Jun-19,Win,7,0,42,30,8,0,1,0.863095238,2.370486571,Dead/Flat,2,Clear,3.370486571,3,1
10,1,46,5,4.6,9.2,12,8,3,v West Indies,Nottingham,Neutral,06-Jun-19,Win,10,0,60,44,9,3,0,0.870833333,2.388900775,Dead/Flat,2,Clear,7.388900775,7,1
10,0,74,1,7.4,74,60,2,5,v India,The Oval,Neutral,09-Jun-19,Loss,10,0,60,22,24,9,0,0.741666667,2.099431653,Green,1,Clear,3.099431653,3,1
9,1,43,2,4.77,21.5,27,6,4,v Pakistan,Taunton,Neutral,12-Jun-19,Win,9,0,54,32,15,1,0,0.810185185,2.248324304,Green,1,Overcast,4.248324304,4,1
10,0,55,4,5.5,13.75,15,9,3,v Sri Lanka,The Oval,Neutral,15-Jun-19,Win,10,0,60,34,17,3,0,0.804166667,2.234833361,Green,1,Overcast,6.234833361,6,1
10,0,55,2,5.5,27.5,30,7,3,v Bangladesh,Nottingham,Neutral,20-Jun-19,Win,10,0,60,25,29,1,2,0.795833333,2.216287133,Dead/Flat,2,Clear,4.216287133,4,1
8.4,1,43,4,4.96,10.75,13,1,5,v England,Lord's,Away,25-Jun-19,Win,8,4,52,29,13,5,0,0.793269231,2.210611625,Green,1,Sunny,6.210611625,6,1
9.4,1,26,5,2.68,5.2,11.6,4,4,v New Zealand,Lord's,Neutral,29-Jun-19,Win,9,4,58,45,10,2,0,0.922413793,2.515354614,Green,1,Clear,7.515354614,7,1
9,0,59,2,6.55,29.5,27,3,5,v South Africa,Manchester,Neutral,06-Jul-19,Loss,9,0,54,27,18,3,0,0.777777778,2.176629932,Dead/Flat,2,Overcast,4.176629932,4,1
9,0,70,1,7.77,70,54,1,5,v England,Birmingham,Away,11-Jul-19,Loss,9,0,54,31,7,3,0,0.699074074,2.011888985,Dead/Flat,2,Overcast,3.011888985,3,1
10,0,56,3,5.6,18.66,20,2,5,v India,Wankhede,Away,14-Jan-20,Win,10,0,60,33,19,0,0,0.7875,2.197894815,Dusty/Dry,1.5,Overcast,5.197894815,5,1
10,0,78,0,7.8,,,2,5,v India,Rajkot,Away,17-Jan-20,Loss,10,0,60,22,22,7,0,0.7,2.013752707,Dead/Flat,2,Sunny,2.013752707,2,0
9,0,66,0,7.33,,,2,5,v India,Bengaluru,Away,19-Jan-20,Loss,9,0,54,26,16,2,0,0.722222222,2.059003694,Dead/Flat,2,Sunny,2.059003694,2,0
10,0,59,2,5.9,29.5,30,3,5,v South Africa,Paarl,Away,29-Feb-20,Loss,10,0,60,29,19,7,1,0.783333333,2.188755972,Dead/Flat,2,Clear,4.188755972,4,1
9.3,0,53,1,5.57,53,57,3,5,v South Africa,Bloemfontein,Away,04-Mar-20,Loss,9,3,57,27,20,4,0,0.771929825,2.163938248,Green,1,Clear,3.163938248,3,1
7,0,33,0,4.71,,,4,4,v New Zealand,Sydney,Home,13-Mar-20,Win,7,0,42,24,12,3,0,0.821428571,2.273745727,Dead/Flat,2,Clear,2.273745727,2,0
10,0,47,0,4.7,,,1,5,v England,Manchester,Away,11-Sep-20,Win,10,0,60,36,17,3,1,0.841666667,2.320230807,Dead/Flat,2,Overcast,2.320230807,2,0
10,1,38,2,3.8,19,30,1,5,v England,Manchester,Away,13-Sep-20,Loss,10,0,60,40,13,3,0,0.854166667,2.349415718,Dusty/Dry,1.5,Clear,4.349415718,4,1
10,0,74,3,7.4,24.66,20,1,5,v England,Manchester,Away,16-Sep-20,Win,10,0,60,32,13,4,1,0.733333333,2.082009084,Dead/Flat,2,Clear,5.082009084,5,1
9,0,65,1,7.22,65,54,2,5,v India,Sydney,Home,27-Nov-20,Win,9,0,54,29,15,2,1,0.768518519,2.156568969,Green,1,Clear,3.156568969,3,1
9,0,82,0,9.11,,,2,5,v India,Sydney,Home,29-Nov-20,Win,9,0,54,23,13,6,0,0.662037037,1.938737595,Green,1,Clear,1.938737595,1,0
8,1,48,5,6,9.6,9.6,8,3,v West Indies,Bridgetown,Away,20-Jul-21,Win,8,0,48,31,7,2,1,0.78125,2.184200811,Dead/Flat,2,Overcast,7.184200811,7,1
10,1,26,3,2.6,8.66,20,8,3,v West Indies,Bridgetown,Away,22-Jul-21,Loss,10,0,60,43,15,3,0,0.929166667,2.532397966,Dead/Flat,2,Overcast,5.532397966,5,1
9.1,0,43,3,4.69,14.33,18.3,8,3,v West Indies,Bridgetown,Away,26-Jul-21,Win,9,1,55,39,10,3,1,0.877272727,2.404333483,Dead/Flat,2,Clear,5.404333483,5,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
