Overs,Maidens,Runs,Wickets,Economy,Average,Strike Rate,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Win/Loss,Balls Whole,Balls Decimal,Total Balls Bowled,0s,1s,2s,3s,Control,Exp Control,Pitch,Pitch Index,Weather,Full Impact,Discrete Impact,Impact
7,0,25,0,3.57,,,7,3,v West Indies,Providence,Away,14-Jul-13,Win,7,0,42,30,8,3,0,0.892857143,2.442097113,Dead/Flat,2,Overcast,2.442097113,2,0
10,0,45,2,4.5,22.5,30,7,3,v West Indies,Providence,Away,16-Jul-13,Loss,10,0,60,39,17,3,1,0.891666667,2.439191585,Dead/Flat,2,Clear,4.439191585,4,1
10,1,36,3,3.6,12,20,7,3,v West Indies,Gros Islet,Away,19-Jul-13,Draw,10,0,60,38,17,2,0,0.8625,2.369075986,Green,1.5,Clear,5.369075986,5,1
10,0,43,1,4.3,43,60,7,3,v West Indies,Gros Islet,Away,21-Jul-13,Win,10,0,60,34,19,3,0,0.829166667,2.291408437,Dead/Flat,2,Overcast,3.291408437,3,1
10,2,57,2,5.7,28.5,30,7,3,v West Indies,Gros Islet,Away,24-Jul-13,Win,10,0,60,34,16,3,0,0.791666667,2.207071816,Dead/Flat,2,Clear,4.207071816,4,1
10,0,44,2,4.4,22,30,10,2,v Zimbabwe,Harare,Away,27-Aug-13,Loss,10,0,60,34,20,1,1,0.829166667,2.291408437,Dead/Flat,2,Clear,4.291408437,4,1
7,0,40,2,5.71,20,21,10,2,v Zimbabwe,Harare,Away,29-Aug-13,Win,7,0,42,19,17,2,0,0.779761905,2.180952929,Dead/Flat,2,Clear,4.180952929,4,1
7,1,15,2,2.14,7.5,21,10,2,v Zimbabwe,Harare,Away,31-Aug-13,Win,7,0,42,31,9,1,0,0.910714286,2.486097683,Dead/Flat,2,Clear,4.486097683,4,1
10,2,30,4,3,7.5,15,4,4,v South Africa,Sharjah,Home,30-Oct-13,Loss,10,0,60,42,14,1,0,0.883333333,2.418949448,Dead/Flat,2,Sunny,6.418949448,6,1
8,1,15,2,1.87,7.5,24,4,4,v South Africa,Dubai (DSC),Home,01-Nov-13,Win,8,0,48,38,8,1,0,0.927083333,2.527127629,Dusty/Dry,1,Sunny,4.527127629,4,1
10,1,38,2,3.8,19,30,4,4,v South Africa,Abu Dhabi,Home,06-Nov-13,Loss,10,0,60,35,18,4,0,0.841666667,2.320230807,Dead/Flat,2,Sunny,4.320230807,4,1
10,0,53,0,5.3,,,4,4,v South Africa,Abu Dhabi,Home,08-Nov-13,Loss,10,0,60,27,28,1,0,0.808333333,2.244164594,Dusty/Dry,1,Sunny,2.244164594,2,0
10,0,45,3,4.5,15,20,4,4,v South Africa,Sharjah,Home,11-Nov-13,Loss,10,0,60,39,14,2,1,0.845833333,2.329918605,Dusty/Dry,1,Sunny,5.329918605,5,1
10,0,28,2,2.8,14,30,4,4,v South Africa,Cape Town,Away,24-Nov-13,Win,10,0,60,42,16,0,0,0.9,2.459603111,Dead/Flat,2,Clear,4.459603111,4,1
8,0,46,1,5.75,46,48,4,4,v South Africa,Gqeberha,Away,27-Nov-13,Win,8,0,48,19,26,0,0,0.802083333,2.230182305,Dead/Flat,2,Overcast,3.230182305,3,1
10,1,34,2,3.4,17,30,4,4,v South Africa,Centurion,Away,30-Nov-13,Loss,10,0,60,41,16,0,0,0.883333333,2.418949448,Dead/Flat,2,Clear,4.418949448,4,1
10,0,48,0,4.8,,,5,4,v Sri Lanka,Sharjah,Home,18-Dec-13,Win,10,0,60,31,25,0,0,0.829166667,2.291408437,Dusty/Dry,1,Sunny,2.291408437,2,0
10,0,44,1,4.4,44,60,5,4,v Sri Lanka,Dubai (DSC),Home,20-Dec-13,Loss,10,0,60,33,20,5,0,0.841666667,2.320230807,Dead/Flat,2,Sunny,3.320230807,3,1
10,1,37,2,3.7,18.5,30,5,4,v Sri Lanka,Sharjah,Home,22-Dec-13,Win,10,0,60,39,17,0,0,0.8625,2.369075986,Dusty/Dry,1,Sunny,4.369075986,4,1
9.5,1,39,4,3.96,9.75,14.7,5,4,v Sri Lanka,Abu Dhabi,Home,25-Dec-13,Win,9,5,59,36,18,0,1,0.843220339,2.323838488,Dusty/Dry,1,Sunny,6.323838488,6,1
10,0,43,2,4.3,21.5,30,5,4,v Sri Lanka,Abu Dhabi,Home,27-Dec-13,Loss,10,0,60,29,24,7,0,0.841666667,2.320230807,Dusty/Dry,1,Sunny,4.320230807,4,1
10,0,50,1,5,50,60,5,4,v Sri Lanka,Fatullah,Neutral,25-Feb-14,Loss,10,0,60,26,28,2,0,0.8,2.225540928,Green,1.5,Sunny,3.225540928,3,1
9,1,25,2,2.77,12.5,27,,1,v Afghanistan,Fatullah,Neutral,27-Feb-14,Win,9,0,54,37,15,0,0,0.893518519,2.443712791,Green,1.5,Sunny,4.443712791,4,1
10,0,40,3,4,13.33,20,1,5,v India,Mirpur,Neutral,02-Mar-14,Win,10,0,60,38,16,2,0,0.85,2.339646852,Dead/Flat,2,Sunny,5.339646852,5,1
10,0,61,2,6.1,30.5,30,9,3,v Bangladesh,Mirpur,Home,04-Mar-14,Win,10,0,60,30,21,1,0,0.770833333,2.161566809,Dead/Flat,2,Sunny,4.161566809,4,1
10,2,26,3,2.6,8.66,20,3,5,v Sri Lanka,Mirpur,Neutral,08-Mar-14,Loss,10,0,60,47,9,1,0,0.904166667,2.469872838,Dead/Flat,2,Sunny,5.469872838,5,1
4,0,10,1,2.5,10,24,3,5,v Sri Lanka,Dambulla,Away,30-Aug-14,Loss,4,0,24,15,9,0,0,0.90625,2.47502377,Dead/Flat,2,Overcast,3.47502377,3,1
10,0,74,0,7.4,,,9,3,v Bangladesh,Mirpur,Away,17-Apr-15,Loss,10,0,60,27,20,2,0,0.716666667,2.047596501,Dead/Flat,2,Sunny,2.047596501,2,0
9.1,1,49,1,5.34,49,55,9,3,v Bangladesh,Mirpur,Away,19-Apr-15,Loss,9,1,55,24,26,0,0,0.790909091,2.205400425,Dead/Flat,2,Sunny,3.205400425,3,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
