Overs,Maidens,Runs,Wickets,Economy,Average,Strike Rate,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Win/Loss,Balls Whole,Balls Decimal,Total Balls Bowled,0s,1s,2s,3s,Control,Exp Control,Pitch,Pitch Index,Weather,Full Impact,Discrete Impact,Impact
9,0,39,3,4.33,13,18,3,5,v Sri Lanka,Mirpur,Neutral,13-Mar-12,Win,54,0,54,31,20,0,0,0.759259259,2.136692898,Green,1.5,Sunny,5.136692898,5,1
10,0,56,1,5.6,56,60,8,3,v Bangladesh,Mirpur,Away,16-Mar-12,Loss,60,0,60,21,33,2,0,0.633333333,1.883879723,Dead/Flat,2,Sunny,2.883879723,2,0
10,0,56,1,5.6,56,60,6,4,v Pakistan,Mirpur,Neutral,18-Mar-12,Win,60,0,60,21,33,1,1,0.629166667,1.876046556,Dead/Flat,2,Sunny,2.876046556,2,0
10,1,46,2,4.6,23,30,5,4,v Sri Lanka,Hambantota,Away,21-Jul-12,Win,60,0,60,30,22,2,3,0.691666667,1.997041164,Dead/Flat,2,Sunny,3.997041164,3,1
5,1,18,1,3.6,18,30,5,4,v Sri Lanka,Hambantota,Away,24-Jul-12,Loss,30,0,30,18,7,3,1,0.741666667,2.099431654,Green,1.5,Sunny,3.099431654,3,1
10,0,50,0,5,,,5,4,v Sri Lanka,Colombo (RPS),Away,28-Jul-12,Win,60,0,60,25,26,5,0,0.654166667,1.923538901,Green,1.5,Sunny,1.923538901,1,0
10,1,46,2,4.6,23,30,5,4,v Sri Lanka,Colombo (RPS),Away,31-Jul-12,Win,60,0,60,30,20,7,0,0.695833333,2.005379527,Dusty/Dry,1,Sunny,4.005379527,4,1
9,0,37,0,4.11,,,5,4,v Sri Lanka,Pallekele,Away,04-Aug-12,Win,54,0,54,28,21,2,0,0.722222222,2.059003694,Dead/Flat,2,Overcast,2.059003694,2,0
10,0,34,0,3.4,,,6,4,v Pakistan,Chennai,Home,30-Dec-12,Loss,60,0,60,31,23,4,0,0.725,2.0647311,Green,1.5,Overcast,2.0647311,2,0
10,0,49,1,4.9,49,60,6,4,v Pakistan,Kolkata,Home,03-Jan-13,Loss,60,0,60,33,17,5,0,0.7125,2.039082598,Dusty/Dry,1,Overcast,3.039082598,3,1
10,1,47,2,4.7,23.5,30,6,4,v Pakistan,Delhi,Home,06-Jan-13,Win,60,0,60,34,22,1,0,0.754166667,2.125839253,Dusty/Dry,1,Overcast,4.125839253,4,1
9,0,61,0,6.77,,,2,5,v England,Rajkot,Home,11-Jan-13,Loss,54,0,54,19,26,3,0,0.606481481,1.833967185,Dusty/Dry,1,Clear,1.833967185,1,0
7,0,39,3,5.57,13,14,2,5,v England,Kochi,Home,15-Jan-13,Win,42,0,42,22,13,2,0,0.69047619,1.994665147,Dead/Flat,2,Clear,4.994665147,4,1
10,0,37,2,3.7,18.5,30,2,5,v England,Ranchi,Home,19-Jan-13,Win,60,0,60,25,20,4,0,0.6,1.8221188,Dead/Flat,2,Clear,3.8221188,3,1
10,0,63,2,6.3,31.5,30,2,5,v England,Mohali,Home,23-Jan-13,Win,60,0,60,26,23,3,0,0.6375,1.891745599,Green,1.5,Overcast,3.891745599,3,1
10,0,50,0,5,,,2,5,v England,Dharamsala,Home,27-Jan-13,Loss,60,0,60,30,23,2,0,0.7,2.013752707,Dead/Flat,2,Overcast,2.013752707,2,0
10,0,47,0,4.7,,,4,4,v South Africa,Cardiff,Neutral,06-Jun-13,Win,60,0,60,26,29,2,0,0.683333333,1.980468302,Green,1.5,Overcast,1.980468302,1,0
9,2,36,1,4,36,54,7,3,v West Indies,The Oval,Neutral,11-Jun-13,Win,54,0,54,37,12,1,0,0.800925926,2.227602569,Green,1.5,Overcast,3.227602569,3,1
8,0,35,2,4.37,17.5,24,6,4,v Pakistan,Birmingham,Neutral,15-Jun-13,Win,48,0,48,19,26,2,0,0.677083333,1.968128976,Dead/Flat,2,Overcast,3.968128976,3,1
10,1,48,3,4.8,16,20,5,4,v Sri Lanka,Cardiff,Neutral,20-Jun-13,Win,60,0,60,28,27,3,1,0.704166667,2.022160849,Dead/Flat,2,Overcast,5.022160849,5,1
4,1,15,2,3.75,7.5,12,2,5,v England,Birmingham,Away,23-Jun-13,Win,24,0,24,16,5,2,0,0.791666667,2.207071816,Green,1.5,Overcast,4.207071816,4,1
10,0,44,2,4.4,22,30,7,3,v West Indies,Kingston,Away,30-Jun-13,Loss,60,0,60,32,18,2,1,0.691666667,1.997041164,Dusty/Dry,1,Clear,3.997041164,3,1
10,0,67,1,6.7,67,60,5,4,v Sri Lanka,Kingston,Neutral,02-Jul-13,Loss,60,0,60,20,31,3,,0.604166667,1.829726802,Dusty/Dry,1,Overcast,2.829726802,2,0
4,0,25,0,6.25,,,7,3,v West Indies,Port of Spain,Away,05-Jul-13,Win,24,0,24,15,5,1,0,0.739583333,2.095062389,Green,1.5,Clear,2.095062389,2,0
5,0,20,1,4,20,30,5,4,v Sri Lanka,Port of Spain,Neutral,09-Jul-13,Win,30,0,30,17,11,1,0,0.758333333,2.134715394,Green,1.5,Clear,3.134715394,3,1
10,0,42,2,4.2,21,30,5,4,v Sri Lanka,Port of Spain,Neutral,11-Jul-13,Win,60,0,60,34,19,5,0,0.745833333,2.108197534,Dead/Flat,2,Clear,4.108197534,4,1
10,0,55,2,5.5,27.5,30,3,5,v Australia,Pune,Home,13-Oct-13,Loss,60,0,60,27,25,3,0,0.670833333,1.95586653,Dead/Flat,2,Clear,3.95586653,3,1
8,0,50,1,6.25,50,48,3,5,v Australia,Jaipur,Home,16-Oct-13,Win,48,0,48,26,14,1,0,0.692708333,1.999122497,Dead/Flat,2,Clear,2.999122497,2,0
9,0,58,0,6.44,,,3,5,v Australia,Mohali,Home,19-Oct-13,Loss,54,0,54,16,30,3,0,0.587962963,1.800317365,Dead/Flat,2,Sunny,1.800317365,1,0
9,0,57,2,6.33,28.5,27,3,5,v Australia,Ranchi,Home,23-Oct-13,No Result,54,0,54,20,26,4,0,0.62962963,1.876915297,Dead/Flat,2,Overcast,3.876915297,3,1
10,0,64,2,6.4,32,30,3,5,v Australia,Nagpur,Home,30-Oct-13,Win,60,0,60,29,18,4,2,0.65,1.915540829,Dead/Flat,2,Clear,3.915540829,3,1
10,0,51,2,5.1,25.5,30,3,5,v Australia,Bengaluru,Home,02-Nov-13,Win,60,0,60,34,19,2,0,0.733333333,2.082009083,Dead/Flat,2,Overcast,4.082009083,4,1
9.5,0,42,2,4.27,21,29.5,7,3,v West Indies,Kochi,Home,21-Nov-13,Win,54,5,59,38,16,1,0,0.783898305,2.189992907,Dusty/Dry,1,Overcast,4.189992907,4,1
10,1,37,2,3.7,18.5,30,7,3,v West Indies,Visakhapatnam,Home,24-Nov-13,Loss,60,0,60,34,21,1,0,0.745833333,2.108197534,Dusty/Dry,1,Sunny,4.108197534,4,1
10,0,45,2,4.5,22.5,30,7,3,v West Indies,Kanpur,Home,27-Nov-13,Win,60,0,60,39,15,1,0,0.779166667,2.17965513,Green,1.5,Clear,4.17965513,4,1
10,0,58,0,5.8,,,4,4,v South Africa,Johannesburg,Away,05-Dec-13,Loss,60,0,60,24,28,1,0,0.6375,1.891745599,Green,1.5,Clear,1.891745599,1,0
9,0,48,1,5.33,48,54,4,4,v South Africa,Durban,Away,08-Dec-13,Loss,54,0,54,18,31,2,0,0.62962963,1.876915297,Dead/Flat,2,Windy,2.876915297,2,0
9,0,63,0,7,,,4,4,v South Africa,Centurion,Away,11-Dec-13,No Result,54,0,54,17,29,3,0,0.597222222,1.817064382,Dead/Flat,2,Sunny,1.817064382,1,0
10,0,52,0,5.2,,,8,3,v New Zealand,Napier,Away,19-Jan-14,Loss,60,0,60,22,32,3,0,0.645833333,1.907576013,Dusty/Dry,1,Sunny,1.907576013,1,0
8,0,50,0,6.25,,,8,3,v New Zealand,Hamilton,Away,22-Jan-14,Loss,48,0,48,18,23,3,0,0.630208333,1.878001788,Green,1.5,Clear,1.878001788,1,0
10,0,47,1,4.7,47,60,8,3,v New Zealand,Auckland,Away,25-Jan-14,Draw,60,0,60,28,27,2,0,0.7,2.013752707,Dead/Flat,2,Clear,3.013752707,3,1
10,0,41,0,4.1,,,8,3,v New Zealand,Hamilton,Away,28-Jan-14,Loss,60,0,60,33,22,2,0,0.741666667,2.099431654,Dead/Flat,2,Sunny,2.099431654,2,0
6,0,37,0,6.16,,,8,3,v New Zealand,Wellington,Away,31-Jan-14,Loss,36,0,36,13,15,5,0,0.604166667,1.829726802,Green,1.5,Clear,1.829726802,1,0
10,1,50,1,5,50,60,9,3,v Bangladesh,Fatullah,Away,26-Feb-14,Win,60,0,60,34,20,3,2,0.745833333,2.108197534,Dead/Flat,2,Clear,3.108197534,3,1
10,0,42,2,4.2,21,30,5,4,v Sri Lanka,Fatullah,Neutral,28-Feb-14,Loss,60,0,60,29,28,0,0,0.716666667,2.047596501,Dusty/Dry,1,Sunny,4.047596501,4,1
9.4,0,44,3,4.55,14.66,19.3,6,4,v Pakistan,Mirpur,Neutral,02-Mar-14,Loss,54,4,58,32,21,1,0,0.737068966,2.08980125,Dusty/Dry,1,Clear,5.08980125,5,1
10,3,31,3,3.1,10.33,20,,1,v Afghanistan,Mirpur,Neutral,05-Mar-14,Win,60,0,60,43,11,3,0,0.820833333,2.272392709,Dead/Flat,2,Clear,5.272392709,5,1
9.1,0,38,2,4.14,19,27.5,5,4,v England,Cardiff,Away,27-Aug-14,Win,54,1,55,31,19,0,1,0.736363636,2.088327771,Dusty/Dry,1,Overcast,4.088327771,4,1
10,0,39,3,3.9,13,20,5,4,v England,Nottingham,Away,30-Aug-14,Win,60,0,60,30,27,0,0,0.725,2.0647311,Dusty/Dry,1,Overcast,5.0647311,5,1
