Overs,Maidens,Runs,Wickets,Economy,Average,Strike Rate,Opposition Rank,Opposition Index,Opposition,Ground,Home/Away,Start Date,Win/Loss,Balls Whole,Balls Decimal,Total Balls Bowled,0s,1s,2s,3s,Control,Exp Control,Pitch,Pitch Index,Weather,Full Impact,Discrete Impact,Impact
10,1,54,3,5.4,18,20,6,4,v Pakistan,Abu Dhabi,Away,07-Nov-18,Win,10,0,60,32,17,8,0,0.8125,2.253534787,Dead/Flat,2,Sunny,5.253534787,5,1
10,0,60,0,6,,,6,4,v Pakistan,Abu Dhabi,Away,09-Nov-18,Loss,10,0,60,34,15,2,1,0.775,2.170592127,Dead/Flat,2,Sunny,2.170592127,2,0
10,0,80,1,8,80,60,6,4,v Pakistan,Dubai (DSC),Away,11-Nov-18,No Result,10,0,60,21,23,6,1,0.691666667,1.997041163,Dusty/Dry,1.5,Clear,2.997041163,2,0
10,0,65,2,6.5,32.5,30,8,3,v Sri Lanka,Mount Maunganui,Home,03-Jan-19,Win,10,0,60,31,19,3,1,0.783333333,2.188755972,Dead/Flat,2,Clear,4.188755972,4,1
10,1,61,1,6.1,61,60,8,3,v Sri Lanka,Mount Maunganui,Home,05-Jan-19,Win,10,0,60,34,19,0,0,0.804166667,2.234833361,Dead/Flat,2,Clear,3.234833361,3,1
6,1,19,0,3.16,,,2,5,v India,Napier,Home,23-Jan-19,Loss,6,0,36,23,11,1,1,0.888888889,2.432425454,Green,1,Windy,2.432425454,2,0
10,1,61,2,6.1,30.5,30,2,5,v India,Mount Maunganui,Home,26-Jan-19,Loss,10,0,60,37,11,2,0,0.770833333,2.161566809,Dead/Flat,2,Windy,4.161566809,4,1
10,1,40,2,4,20,30,2,5,v India,Mount Maunganui,Home,28-Jan-19,Loss,10,0,60,37,16,2,0,0.833333333,2.300975891,Dusty/Dry,1.5,Clear,4.300975891,4,1
10,4,21,5,2.1,4.2,12,2,5,v India,Hamilton,Home,31-Jan-19,Win,10,0,60,52,4,2,0,0.933333333,2.542971638,Dead/Flat,2,Sunny,7.542971638,7,1
9.5,2,39,3,3.96,13,19.6,2,5,v India,Wellington,Home,03-Feb-19,Loss,9,5,59,38,15,2,0,0.851694915,2.343615718,Green,1,Sunny,5.343615718,5,1
9.5,0,40,3,4.06,13.33,19.6,7,3,v Bangladesh,Napier,Home,13-Feb-19,Win,9,5,59,39,14,4,0,0.872881356,2.393798311,Green,1,Clear,5.393798311,5,1
10,1,49,1,4.9,49,60,7,3,v Bangladesh,Christchurch,Home,16-Feb-19,Win,10,0,60,39,10,2,1,0.795833333,2.216287133,Dead/Flat,2,Clear,3.216287133,3,1
9,1,37,2,4.11,18.5,27,7,3,v Bangladesh,Dunedin,Home,20-Feb-19,Win,9,0,54,36,11,2,0,0.837962963,2.311653254,Dead/Flat,2,Clear,4.311653254,4,1
9,0,44,1,4.88,44,54,9,3,v Sri Lanka,Cardiff,Neutral,01-Jun-19,Win,9,0,54,34,11,3,1,0.814814815,2.258757345,Green,1,Clear,3.258757345,3,1
10,0,44,2,4.4,22,30,7,3,v Bangladesh,The Oval,Neutral,05-Jun-19,Win,10,0,60,32,22,3,0,0.833333333,2.300975891,Dusty/Dry,1.5,Overcast,4.300975891,4,1
10,0,34,0,3.4,,,10,2,v Afghanistan,Taunton,Neutral,08-Jun-19,Win,10,0,60,39,16,1,0,0.858333333,2.359225373,Dead/Flat,2,Clear,2.359225373,2,0
10,0,63,1,6.3,63,60,3,5,v South Africa,Birmingham,Neutral,19-Jun-19,Win,10,0,60,30,17,6,0,0.7625,2.143628599,Dead/Flat,2,Overcast,3.143628599,3,1
10,1,30,4,3,7.5,15,8,3,v West Indies,Manchester,Neutral,22-Jun-19,Win,10,0,60,42,13,2,0,0.879166667,2.40889146,Dead/Flat,2,Clear,6.40889146,6,1
10,0,48,1,4.8,48,60,6,4,v Pakistan,Birmingham,Neutral,26-Jun-19,Loss,10,0,60,42,6,4,0,0.808333333,2.244164594,Dusty/Dry,1.5,Overcast,3.244164594,3,1
10,1,51,4,5.1,12.75,15,5,4,v Australia,Lord's,Neutral,29-Jun-19,Loss,10,0,60,35,13,6,1,0.8,2.225540928,Green,1,Sunny,6.225540928,6,1
10,0,56,2,5.6,28,30,1,5,v England,ChesterleStreet,Away,03-Jul-19,Loss,10,0,60,30,17,7,0,0.770833333,2.161566809,Dead/Flat,2,Clear,4.161566809,4,1
10,2,42,2,4.2,21,30,2,5,v India,Manchester,Neutral,09-Jul-19,Win,10,0,60,36,16,3,0,0.825,2.281880765,Dusty/Dry,1.5,Overcast,4.281880765,4,1
10,0,67,0,6.7,,,1,5,v England,Lord's,Away,14-Jul-19,Draw,10,0,60,31,15,2,0,0.720833333,2.056145952,Dusty/Dry,1.5,Overcast,2.056145952,2,0
10,0,37,0,3.7,,,5,4,v Australia,Sydney,Away,13-Mar-20,Loss,10,0,60,35,20,4,1,0.870833333,2.388900775,Green,1,Sunny,2.388900775,2,0
8.5,0,27,4,3.05,6.75,13.2,7,3,v Bangladesh,Dunedin,Home,20-Mar-21,Win,8,5,53,43,6,2,0,0.91509434,2.497010808,Dead/Flat,2,Clear,6.497010808,6,1
10,0,49,1,4.9,49,60,7,3,v Bangladesh,Christchurch,Home,23-Mar-21,Win,10,0,60,32,19,7,0,0.829166667,2.291408437,Dead/Flat,2,Windy,3.291408437,3,1
10,1,37,0,3.7,,,7,3,v Bangladesh,Wellington,Home,26-Mar-21,Win,10,0,60,45,10,0,0,0.875,2.398875294,Green,1,Windy,2.398875294,2,0
